DF,Date,City,State,Division,Latitude,Longitude,Fatalities,Injured,Shooter Age,Shooter Age Category,Prior Mental Illness,Day of Week,Season,Male,Race/Ethnicity,AutoWeapon,School
VPData,1982-05-03,Anchorage ,AK,Pacific,61.20606200360044,-149.78871503369356,4,0,34.0,30s,Yes,Monday,Spring,Male,White,0.0,0.0
VPData,1983-03-01,McCarthy,AK,Pacific,61.434480000000065,-142.92301999999995,6,2,39.0,30s,Yes,Tuesday,Spring,Male,White,1.0,0.0
VPData,1984-05-17,Manley Hot Springs,AK,Pacific,64.99485000000004,-150.63539999999998,8,1,25.0,20s,No,Thursday,Spring,Male,White,0.0,0.0
STData,1997-02-19,Bethel,AK,Pacific,60.79053882,-161.7927517,2,2,16.0,High School,Yes,Wednesday,Winter,Male,White,0.0,1.0
GVData,2014-09-14,Anchorage,AK,Pacific,61.21767701637822,-149.88015899894762,0,6,,,nan,Sunday,Fall,,,,
GVData,2020-04-08,Anchorage,AK,Pacific,61.124333038747366,-149.80434702798547,0,4,,,nan,Wednesday,Spring,,,,
GVData,2020-10-07,Anchorage,AK,Pacific,61.22186731799549,-149.79235552487347,1,4,,,nan,Wednesday,Fall,,,,
GVData,2020-11-30,Palmer,AK,Pacific,61.60963098593504,-149.1080029910002,4,0,,,nan,Monday,Fall,,,,
VPData,2003-02-25,Huntsville,AL,East South Central,34.71963198609633,-86.60214798832413,4,1,23.0,20s,Yes,Tuesday,Winter,Male,Black,0.0,0.0
STData,2009-03-10,Geneva,AL,East South Central,31.04367594,-85.87634659999998,11,6,28.0,20s,No,Tuesday,Spring,Male,White,1.0,0.0
STData,2010-02-12,Huntsville,AL,East South Central,34.72827538,-86.67230550000002,0,3,44.0,40s,No,Friday,Winter,Female,White,1.0,1.0
STData,2011-04-06,Opelika,AL,East South Central,32.66240106,-85.37706931,1,3,34.0,30s,Yes,Wednesday,Spring,Male,White,1.0,1.0
STData,2012-01-29,Birmingham,AL,East South Central,33.5282865,-86.79550448,5,0,999.0,Multiple Shooters,No,Sunday,Winter,Male,Black,1.0,0.0
STData,2012-06-09,Auburn,AL,East South Central,32.60598014,-85.48989253,3,3,22.0,College Age,Unknown,Saturday,Summer,Male,Black,1.0,0.0
STData,2013-12-28,Montgomery,AL,East South Central,32.34729571,-86.26730242,3,5,25.0,20s,No,Saturday,Winter,Male,Black,1.0,0.0
GVData,2014-01-12,Huntsville,AL,East South Central,34.754774371679936,-86.71258541981886,0,5,,,nan,Sunday,Winter,,,,
GVData,2014-06-08,Opp,AL,East South Central,31.27271000820804,-86.25301003747295,1,4,,,nan,Sunday,Summer,,,,
STData,2015-02-27,Birmingham,AL,East South Central,33.5282865,-86.79550448,1,2,999.0,Multiple Shooters,No,Friday,Winter,Male,Black,,0.0
STData,2015-03-15,Cottonwood,AL,East South Central,31.054968699999996,-85.30100084,3,1,45.0,40s,No,Sunday,Spring,Male,White,,0.0
GVData,2015-04-18,Montgomery,AL,East South Central,32.356946871860764,-86.33558071290264,0,5,,,nan,Saturday,Spring,,,,
GVData,2015-05-24,Montgomery,AL,East South Central,32.335680081541,-86.35212151761894,1,3,,,nan,Sunday,Spring,,,,
GVData,2015-11-16,Cedar Bluff,AL,East South Central,34.228939993413604,-85.68456998359625,3,1,,,nan,Monday,Fall,,,,
GVData,2015-12-25,Mobile,AL,East South Central,30.673039988928018,-88.22228001813511,0,4,,,nan,Friday,Winter,,,,
GVData,2016-02-14,Eutaw (Union),AL,East South Central,32.98919205342898,-87.91058049747629,0,5,,,nan,Sunday,Winter,,,,
GVData,2016-02-20,Bessemer,AL,East South Central,33.37328989937079,-86.97644486478077,1,3,,,nan,Saturday,Winter,,,,
STData,2016-03-19,Wetumpka,AL,East South Central,32.543745,-86.211913,2,2,32.0,30s,Unknown,Saturday,Spring,Male,Black,0.0,0.0
STData,2016-03-25,Greenhill,AL,East South Central,34.759257,-86.60249300000002,2,2,49.0,40s,Yes,Friday,Spring,Male,White,,0.0
GVData,2016-04-09,Anniston,AL,East South Central,33.66363003554923,-85.85007988188885,0,4,,,nan,Saturday,Spring,,,,
GVData,2016-04-16,Enterprise,AL,East South Central,31.303574819469713,-85.81584251522041,0,4,,,nan,Saturday,Spring,,,,
STData,2016-04-19,Brooksville,AL,East South Central,34.162040000000005,-86.475543,1,4,38.0,30s,Yes,Tuesday,Spring,Male,White,0.0,0.0
STData,2016-04-23,Auburn,AL,East South Central,32.609857,-85.48078199999998,3,1,33.0,30s,Unknown,Saturday,Spring,Male,Black,,0.0
STData,2016-05-06,Montgomery,AL,East South Central,32.366805,-86.29996899999998,1,3,999.0,Multiple Shooters,Unknown,Friday,Spring,,Other,,0.0
STData,2016-05-11,Birmingham,AL,East South Central,33.520661,-86.80249,1,4,36.0,30s,Unknown,Wednesday,Spring,Male,Black,0.0,0.0
GVData,2016-08-20,Citronelle,AL,East South Central,31.05123485983817,-88.3102430122578,5,0,,,nan,Saturday,Summer,,,,
GVData,2016-08-27,Bessemer (Brighton),AL,East South Central,33.44118400637116,-86.9503609961599,1,6,,,nan,Saturday,Summer,,,,
GVData,2016-08-28,Dadeville,AL,East South Central,32.8294999957222,-85.75723002001514,0,5,,,nan,Sunday,Summer,,,,
GVData,2016-10-15,Mobile,AL,East South Central,30.70327154702013,-88.07886601289377,0,5,,,nan,Saturday,Fall,,,,
GVData,2016-10-15,Mobile,AL,East South Central,30.70327154702013,-88.07886601289377,0,5,,,nan,Saturday,Fall,,,,
GVData,2016-12-23,Birmingham,AL,East South Central,33.53834401049573,-86.78255596513979,1,3,,,nan,Friday,Winter,,,,
GVData,2016-12-25,Ozark,AL,East South Central,31.467909578336396,-85.67565794872577,0,4,,,nan,Sunday,Winter,,,,
GVData,2017-04-15,Birmingham,AL,East South Central,33.622621993358536,-86.68672398975433,0,6,,,nan,Saturday,Spring,,,,
GVData,2017-05-28,Phenix City,AL,East South Central,32.436067975081784,-84.99557152824633,0,12,,,nan,Sunday,Spring,,,,
GVData,2017-07-03,Prattville,AL,East South Central,32.437825918006894,-86.47236128606642,3,1,,,nan,Monday,Summer,,,,
GVData,2017-09-09,Selma,AL,East South Central,32.39439984792466,-87.02883075605685,0,4,,,nan,Saturday,Fall,,,,
GVData,2017-10-22,Lanett,AL,East South Central,32.84854034181036,-85.20622580571728,2,7,,,nan,Sunday,Fall,,,,
GVData,2017-12-23,Birmingham,AL,East South Central,33.50912004406989,-86.8220198931275,0,4,,,nan,Saturday,Winter,,,,
GVData,2017-12-24,Troy,AL,East South Central,31.8094163919216,-85.9601155808857,1,4,,,nan,Sunday,Winter,,,,
GVData,2018-01-01,Huntsville,AL,East South Central,34.76287799643487,-86.59446999737736,1,3,,,nan,Monday,Winter,,,,
GVData,2018-01-07,Union Springs,AL,East South Central,32.12474452374328,-85.71123549728517,1,5,,,nan,Sunday,Winter,,,,
GVData,2018-01-14,Eutaw,AL,East South Central,32.850913586692535,-87.90229630748209,1,4,,,nan,Sunday,Winter,,,,
GVData,2018-01-14,Madison,AL,East South Central,34.67421502092584,-86.75964998396097,0,4,,,nan,Sunday,Winter,,,,
GVData,2018-03-07,Hurtsboro,AL,East South Central,32.24050998792076,-85.41477998970765,2,2,,,nan,Wednesday,Spring,,,,
GVData,2018-04-01,Mobile,AL,East South Central,30.638738014101392,-88.12289595982195,1,4,,,nan,Sunday,Spring,,,,
GVData,2018-06-11,Montgomery,AL,East South Central,32.313447004330094,-86.24151501163912,0,4,,,nan,Monday,Summer,,,,
GVData,2018-06-19,Huntsville,AL,East South Central,34.73105401650782,-86.6029047210961,0,4,,,nan,Tuesday,Summer,,,,
GVData,2018-07-07,Wetumpka,AL,East South Central,32.4714659957548,-86.1223430401284,3,2,,,nan,Saturday,Summer,,,,
GVData,2018-07-08,Brandon,AL,East South Central,32.27289065340583,-89.97042458400612,0,6,,,nan,Sunday,Summer,,,,
GVData,2018-09-02,Birmingham,AL,East South Central,33.50961000822001,-86.79745999481409,0,7,,,nan,Sunday,Fall,,,,
GVData,2018-09-09,Auburn,AL,East South Central,32.607073999292716,-85.48384997317747,1,4,,,nan,Sunday,Fall,,,,
GVData,2018-10-08,Birmingham,AL,East South Central,33.552915770839284,-86.72436648310106,0,4,,,nan,Monday,Fall,,,,
GVData,2018-11-25,Demopolis,AL,East South Central,32.50639003352559,-87.823699902661,2,2,,,nan,Sunday,Fall,,,,
GVData,2019-01-27,Birmingham,AL,East South Central,33.49329002364227,-86.89188992925541,0,5,,,nan,Sunday,Winter,,,,
GVData,2019-02-22,Birmingham,AL,East South Central,33.61204106445528,-86.69577960833256,2,2,,,nan,Friday,Winter,,,,
GVData,2019-03-15,Mobile,AL,East South Central,30.672036004565676,-88.08684698682598,2,4,,,nan,Friday,Spring,,,,
GVData,2019-04-28,Birmingham,AL,East South Central,33.512866000418036,-86.89599999547752,0,4,,,nan,Sunday,Spring,,,,
GVData,2019-05-18,Atmore,AL,East South Central,31.031097909155196,-87.47958690003317,1,8,,,nan,Saturday,Spring,,,,
GVData,2019-08-15,Montgomery,AL,East South Central,32.36563000938186,-86.29739498081496,2,3,,,nan,Thursday,Summer,,,,
GVData,2019-08-30,Mobile,AL,East South Central,30.6737599944108,-88.07552202980757,0,6,,,nan,Friday,Summer,,,,
GVData,2019-09-01,Valley,AL,East South Central,32.790409984435136,-85.18756000566648,0,7,,,nan,Sunday,Fall,,,,
GVData,2019-09-02,Elkmont,AL,East South Central,34.920430995952536,-86.9703700239632,5,0,,,nan,Monday,Fall,,,,
GVData,2019-11-24,Birmingham,AL,East South Central,33.49945101584282,-86.86040900967105,1,4,,,nan,Sunday,Fall,,,,
GVData,2019-12-04,Montgomery,AL,East South Central,32.372306991541905,-86.20378496414226,2,2,,,nan,Wednesday,Winter,,,,
GVData,2019-12-20,Tuskegee,AL,East South Central,32.39923630928864,-85.72113200991645,2,2,,,nan,Friday,Winter,,,,
GVData,2020-05-11,Montgomery,AL,East South Central,32.349330057552706,-86.3165498926847,0,4,,,nan,Monday,Spring,,,,
GVData,2020-05-24,Danville,AL,East South Central,34.505787806169074,-87.06682325139141,3,1,,,nan,Sunday,Spring,,,,
GVData,2020-06-04,Valhermoso Springs,AL,East South Central,34.523788986040195,-86.67726601784922,7,0,,,nan,Thursday,Summer,,,,
GVData,2020-06-21,Auburn,AL,East South Central,32.6099510983383,-85.49362213169405,0,4,,,nan,Sunday,Summer,,,,
GVData,2020-06-28,Akron,AL,East South Central,32.84989278088808,-87.682675596115,0,7,,,nan,Sunday,Summer,,,,
GVData,2020-07-03,Birmingham (Hoover),AL,East South Central,33.38012305245331,-86.80694849285669,1,3,,,nan,Friday,Summer,,,,
GVData,2020-08-01,Montgomery,AL,East South Central,32.36084376470025,-86.21495062663021,0,4,,,nan,Saturday,Summer,,,,
GVData,2020-08-08,Birmingham (Ensley),AL,East South Central,33.514495226676885,-86.89693713686934,1,5,,,nan,Saturday,Summer,,,,
GVData,2020-08-15,Troy,AL,East South Central,31.764840000199538,-85.8982200016725,2,3,,,nan,Saturday,Summer,,,,
GVData,2020-08-22,Bessemer (Hueytown),AL,East South Central,33.459540039049244,-86.94713991458859,1,3,,,nan,Saturday,Summer,,,,
GVData,2020-09-26,Enterprise,AL,East South Central,31.31995498264206,-85.8464690418199,1,3,,,nan,Saturday,Fall,,,,
GVData,2021-03-23,Aliceville,AL,East South Central,33.12776004575554,-88.16691989459422,2,2,,,nan,Tuesday,Spring,,,,
GVData,2021-04-03,Tuscaloosa,AL,East South Central,33.211231018980605,-87.56800701262802,0,5,,,nan,Saturday,Spring,,,,
GVData,2021-04-04,Birmingham,AL,East South Central,33.54602394155459,-86.7819651936771,1,5,,,nan,Sunday,Spring,,,,
GVData,2021-04-18,Montgomery,AL,East South Central,32.3695242165762,-86.33053969535187,1,4,,,nan,Sunday,Spring,,,,
GVData,2021-04-25,Phenix City,AL,East South Central,32.46062999705813,-85.01724995906336,0,4,,,nan,Sunday,Spring,,,,
GVData,2021-04-27,Fairfield,AL,East South Central,33.45782407740437,-86.9260406342635,1,4,,,nan,Tuesday,Spring,,,,
VPData,1984-07-24,Hot Springs,AR,West South Central,34.504163011211965,-93.05488004025764,5,1,33.0,30s,No,Tuesday,Summer,Male,White,0.0,0.0
VPData,1998-03-24,Jonesboro,AR,West South Central,35.853916261860306,-90.80631287897494,5,10,999.0,Multiple Shooters,No,Tuesday,Spring,Male,White,,1.0
STData,2008-10-26,Conway,AR,West South Central,35.08130744,-92.43278275,0,1,999.0,Multiple Shooters,No,Sunday,Fall,Male,Black,1.0,1.0
GVData,2014-05-03,Jonesboro,AR,West South Central,35.818334997547005,-90.61555603082084,4,4,,,nan,Saturday,Spring,,,,
GVData,2014-07-26,Pine Bluff,AR,West South Central,34.22767005126349,-92.05244993420898,1,3,,,nan,Saturday,Summer,,,,
GVData,2015-02-17,Little Rock,AR,West South Central,34.677932981717376,-92.32079597763754,1,3,,,nan,Tuesday,Winter,,,,
GVData,2015-08-08,Blytheville,AR,West South Central,35.91937200907589,-89.89667498036133,1,11,,,nan,Saturday,Summer,,,,
GVData,2016-07-19,West Memphis,AR,West South Central,35.14332005062295,-90.16879992101751,0,4,,,nan,Tuesday,Summer,,,,
GVData,2016-09-08,Hot Springs National Park (Hot Springs),AR,West South Central,34.49983349946094,-93.07559042901995,1,4,,,nan,Thursday,Fall,,,,
GVData,2016-11-02,Little Rock,AR,West South Central,34.7280379872434,-92.2659879700588,1,4,,,nan,Wednesday,Fall,,,,
GVData,2017-02-07,Little Rock,AR,West South Central,34.67290199579341,-92.4307809641728,1,4,,,nan,Tuesday,Winter,,,,
GVData,2017-05-14,Jonesboro,AR,West South Central,35.84016083047183,-90.70499753086078,1,6,,,nan,Sunday,Spring,,,,
GVData,2017-07-01,Little Rock,AR,West South Central,34.74356898327524,-92.27319498186615,0,25,,,nan,Saturday,Summer,,,,
GVData,2018-01-04,Brinkley,AR,West South Central,34.90363999032584,-91.20042897351108,1,3,,,nan,Thursday,Winter,,,,
GVData,2018-04-25,Pine Bluff,AR,West South Central,34.205327664626516,-92.00546762920756,0,4,,,nan,Wednesday,Spring,,,,
GVData,2018-08-27,Pine Bluff,AR,West South Central,34.19441733091588,-92.0299829643218,1,3,,,nan,Monday,Summer,,,,
GVData,2018-09-02,Fort Smith,AR,West South Central,35.38611700543487,-94.42313797512236,0,4,,,nan,Sunday,Fall,,,,
GVData,2018-10-28,El Dorado,AR,West South Central,33.20242324508476,-92.65005898742236,2,2,,,nan,Sunday,Fall,,,,
GVData,2018-11-16,Little Rock,AR,West South Central,34.7385890012321,-92.32308096826219,3,1,,,nan,Friday,Fall,,,,
GVData,2019-01-02,Jonesboro,AR,West South Central,35.82221099912292,-90.6585650009376,1,3,,,nan,Wednesday,Winter,,,,
GVData,2019-01-15,Little Rock,AR,West South Central,34.66932200112814,-92.33860802479956,1,4,,,nan,Tuesday,Winter,,,,
GVData,2019-03-02,Pine Bluff,AR,West South Central,34.20482001928838,-91.99399496055858,1,4,,,nan,Saturday,Spring,,,,
GVData,2019-11-10,Little Rock,AR,West South Central,34.74006170371511,-92.30791067623564,0,4,,,nan,Sunday,Fall,,,,
GVData,2019-11-30,Hensley,AR,West South Central,34.54247409856302,-92.35701318596014,0,5,,,nan,Saturday,Fall,,,,
GVData,2020-06-07,Hope,AR,West South Central,33.68201223667127,-93.58149856573074,0,5,,,nan,Sunday,Summer,,,,
GVData,2020-06-13,Rison,AR,West South Central,33.966930040142934,-92.18551993937487,0,4,,,nan,Saturday,Summer,,,,
GVData,2020-06-27,Blytheville,AR,West South Central,35.9255271358069,-89.8938616230534,3,1,,,nan,Saturday,Summer,,,,
GVData,2020-06-30,Greenbrier,AR,West South Central,35.24242700321714,-92.26370398526251,0,4,,,nan,Tuesday,Summer,,,,
GVData,2020-07-05,Helena,AR,West South Central,34.529569984660284,-90.60068997116792,1,3,,,nan,Sunday,Summer,,,,
GVData,2020-07-26,Magnolia,AR,West South Central,33.263856176544856,-93.25471666652508,0,4,,,nan,Sunday,Summer,,,,
GVData,2020-08-23,Pine Bluff,AR,West South Central,34.20188732248621,-92.03240918060352,0,7,,,nan,Sunday,Summer,,,,
GVData,2020-09-03,Hensley,AR,West South Central,34.547960047865274,-92.25222991418664,1,3,,,nan,Thursday,Fall,,,,
GVData,2020-09-03,Little Rock,AR,West South Central,34.6552800082859,-92.43098196221096,0,4,,,nan,Thursday,Fall,,,,
GVData,2020-09-05,Little Rock,AR,West South Central,34.74759699066523,-92.26561396953913,0,4,,,nan,Saturday,Fall,,,,
GVData,2020-09-18,Little Rock,AR,West South Central,34.70086000147316,-92.34167102367695,0,4,,,nan,Friday,Fall,,,,
GVData,2020-09-19,West Memphis,AR,West South Central,35.13423094673697,-90.19005456708805,0,5,,,nan,Saturday,Fall,,,,
GVData,2020-12-25,Atkins,AR,West South Central,35.19750574012308,-93.00028216605928,5,0,,,nan,Friday,Winter,,,,
GVData,2021-01-01,Fort Smith,AR,West South Central,35.3529130180147,-94.42174398080529,0,7,,,nan,Friday,Winter,,,,
GVData,2021-04-25,Little Rock,AR,West South Central,34.742272009487394,-92.24849502195069,1,3,,,nan,Sunday,Spring,,,,
VPData,1966-11-12,Mesa,AZ,Mountain,33.39359100000007,-111.81721699999996,5,2,18.0,High School,Yes,Saturday,Fall,Male,White,0.0,0.0
STData,1991-08-09,Phoenix,AZ,Mountain,33.57145875,-112.0904854,9,0,999.0,Multiple Shooters,No,Friday,Summer,Male,Asian,0.0,0.0
VPData,1992-03-15,Phoenix,AZ,Mountain,33.46380001560962,-111.9917500261179,4,0,26.0,20s,Yes,Sunday,Spring,Male,White,0.0,0.0
STData,2002-10-28,Tucson,AZ,Mountain,32.15358905,-110.96776470000002,4,0,41.0,40s,No,Monday,Fall,Male,Other,1.0,1.0
STData,2008-07-24,Phoenix,AZ,Mountain,33.57145875,-112.0904854,0,3,24.0,20s,No,Thursday,Summer,Male,Black,1.0,1.0
VPData,2011-01-08,Tucson ,AZ,Mountain,32.33591682958359,-110.97730211322813,6,13,22.0,College Age,Yes,Saturday,Winter,Male,White,1.0,0.0
STData,2013-01-30,Phoenix,AZ,Mountain,33.57145875,-112.0904854,3,1,70.0,Older than 60,Unknown,Wednesday,Winter,Male,White,1.0,0.0
GVData,2014-04-05,Phoenix,AZ,Mountain,33.46971475708636,-112.17613023641123,1,3,,,nan,Saturday,Spring,,,,
STData,2015-03-18,Mesa,AZ,Mountain,33.42268696,-111.8163202,1,5,41.0,40s,No,Wednesday,Spring,Male,White,,0.0
STData,2015-04-16,Phoenix,AZ,Mountain,33.57145875,-112.0904854,5,0,50.0,50s,Unknown,Thursday,Spring,Male,Other,1.0,0.0
GVData,2015-04-27,Gila Bend,AZ,Mountain,32.746232064242804,-112.82834204740574,2,2,,,nan,Monday,Spring,,,,
STData,2015-05-12,Tucson,AZ,Mountain,32.15358905,-110.96776470000002,5,0,25.0,20s,Yes,Tuesday,Spring,Male,Other,,0.0
STData,2015-10-09,Flagstaff,AZ,Mountain,35.1725658,-111.65854350000001,1,3,18.0,High School,Unknown,Friday,Fall,Male,White,,1.0
GVData,2015-10-25,Phoenix,AZ,Mountain,33.406710034891354,-112.06456990543036,1,4,,,nan,Sunday,Fall,,,,
STData,2016-01-30,Glendale,AZ,Mountain,33.538652,-112.18598700000001,3,5,999.0,Multiple Shooters,Unknown,Saturday,Winter,Male,Other,,0.0
STData,2016-02-23,Glendale,AZ,Mountain,33.5927,-112.163,5,0,26.0,20s,Yes,Tuesday,Winter,Male,Other,,0.0
STData,2016-05-14,Phoenix,AZ,Mountain,33.448377,-112.074037,0,2,43.0,40s,Unknown,Saturday,Spring,Male,Other,,0.0
GVData,2016-06-05,Phoenix,AZ,Mountain,33.556024930770754,-112.1130463567914,2,4,,,nan,Sunday,Summer,,,,
GVData,2016-07-04,Phoenix,AZ,Mountain,33.39211127384077,-112.1455118543152,2,6,,,nan,Monday,Summer,,,,
GVData,2017-05-21,Mesa,AZ,Mountain,33.42387801661337,-111.75194101024044,0,4,,,nan,Sunday,Spring,,,,
GVData,2017-07-18,El Mirage,AZ,Mountain,33.60890002157953,-112.31244993969446,0,4,,,nan,Tuesday,Summer,,,,
GVData,2017-10-05,Casa Grande,AZ,Mountain,32.8854773260938,-111.75856839917877,4,0,,,nan,Thursday,Fall,,,,
GVData,2017-10-07,Phoenix,AZ,Mountain,33.47977005572979,-112.24646994483028,0,4,,,nan,Saturday,Fall,,,,
GVData,2017-10-15,Phoenix,AZ,Mountain,33.50818005553828,-112.28999993404841,1,3,,,nan,Sunday,Fall,,,,
GVData,2018-07-29,Phoenix,AZ,Mountain,33.45102398351348,-112.02861103789353,1,4,,,nan,Sunday,Summer,,,,
GVData,2018-11-11,Globe,AZ,Mountain,33.39996000444515,-110.78951001669724,3,1,,,nan,Sunday,Fall,,,,
GVData,2019-01-03,Yuma,AZ,Mountain,32.76895652400003,-113.905830295,1,3,,,nan,Thursday,Winter,,,,
GVData,2019-01-13,Phoenix,AZ,Mountain,33.451022013766234,-112.02801298910194,1,5,,,nan,Sunday,Winter,,,,
GVData,2019-03-19,Phoenix,AZ,Mountain,33.561398016084645,-112.11722703283523,2,4,,,nan,Tuesday,Spring,,,,
GVData,2019-03-24,Phoenix,AZ,Mountain,33.46618898374317,-112.1065690238525,0,7,,,nan,Sunday,Spring,,,,
GVData,2019-04-11,Phoenix,AZ,Mountain,33.50403101346643,-112.21215401413484,3,2,,,nan,Thursday,Spring,,,,
GVData,2019-11-01,Tolleson,AZ,Mountain,33.42489398709726,-112.24655896064199,0,5,,,nan,Friday,Fall,,,,
GVData,2020-06-26,Phoenix,AZ,Mountain,33.465582008224715,-112.16863802269505,0,4,,,nan,Friday,Summer,,,,
GVData,2020-10-16,Mesa,AZ,Mountain,33.36271099437154,-111.878748979363,1,6,,,nan,Friday,Fall,,,,
GVData,2020-11-01,Tucson,AZ,Mountain,32.083370048591576,-110.93855415605678,2,2,,,nan,Sunday,Fall,,,,
GVData,2020-11-21,Phoenix,AZ,Mountain,33.48405002312923,-112.13433994545338,1,4,,,nan,Saturday,Fall,,,,
GVData,2021-01-17,Phoenix,AZ,Mountain,33.55316732783285,-112.10949695500419,0,5,,,nan,Sunday,Winter,,,,
GVData,2021-01-17,Phoenix,AZ,Mountain,33.424475017667035,-112.03355803714766,1,6,,,nan,Sunday,Winter,,,,
GVData,2021-03-16,Phoenix,AZ,Mountain,33.50590902078241,-112.19127402277256,4,1,,,nan,Tuesday,Spring,,,,
VPData,1975-03-02,Smith River,CA,Pacific,41.946160007243115,-124.19506997996712,5,1,21.0,College Age,Yes,Sunday,Spring,Male,White,0.0,0.0
STData,1976-02-19,Los Angeles,CA,Pacific,34.17622092,-118.53995420000001,1,6,18.0,High School,Unknown,Thursday,Winter,Male,White,0.0,1.0
VPData,1976-07-12,Fullerton,CA,Pacific,33.87994000868869,-117.88542003272354,7,2,37.0,30s,Yes,Monday,Summer,Male,White,0.0,1.0
STData,1979-01-29,San Diego,CA,Pacific,32.86357277,-117.1281628,2,9,16.0,High School,Yes,Monday,Winter,Female,White,1.0,1.0
STData,1984-02-24,Los Angeles,CA,Pacific,34.17622092,-118.53995420000001,3,12,28.0,20s,Yes,Friday,Winter,Male,Black,0.0,1.0
VPData,1984-07-18,San Ysidro,CA,Pacific,32.544355989687304,-117.02910896252337,21,19,41.0,40s,Yes,Wednesday,Summer,Male,White,1.0,0.0
VPData,1988-02-16,Sunnyvale ,CA,Pacific,37.41011800589512,-122.01155696157906,7,4,39.0,30s,Yes,Tuesday,Winter,Male,White,1.0,0.0
VPData,1989-01-17,Stockton,CA,Pacific,37.982290018341644,-121.30110299275309,6,30,24.0,20s,Yes,Tuesday,Winter,Male,White,1.0,1.0
STData,1989-08-10,Escondido,CA,Pacific,33.13439925,-117.07225279999999,4,1,52.0,50s,No,Thursday,Summer,Male,White,1.0,0.0
VPData,1992-05-01,Olivehurst,CA,Pacific,39.08426105914921,-121.53412321777992,4,10,20.0,College Age,Yes,Friday,Spring,Male,White,0.0,1.0
VPData,1992-11-08,Morro Bay,CA,Pacific,35.64478999732285,-120.6870799701135,6,1,43.0,40s,No,Sunday,Fall,Male,White,0.0,0.0
STData,1993-05-06,Dana Point,CA,Pacific,33.47316083,-117.696399,1,5,38.0,30s,Yes,Thursday,Spring,Male,White,1.0,0.0
VPData,1993-07-01,San Francisco,CA,Pacific,37.79304001377571,-122.3980320163062,9,6,55.0,50s,No,Thursday,Summer,Male,White,1.0,0.0
VPData,1993-10-14,El Cajon,CA,Pacific,32.80437398366834,-116.97298298448929,4,2,19.0,College Age,Yes,Thursday,Fall,Male,White,0.0,0.0
VPData,1993-12-02,Oxnard,CA,Pacific,34.257968996771595,-119.2265350181733,4,5,33.0,30s,Yes,Thursday,Winter,Male,White,0.0,0.0
VPData,1995-07-19,Los Angeles,CA,Pacific,34.054253000791306,-118.2308970197248,4,0,42.0,40s,No,Wednesday,Summer,Male,Black,0.0,0.0
STData,1996-08-15,San Diego,CA,Pacific,32.86357277,-117.1281628,3,0,36.0,30s,No,Thursday,Summer,Male,White,1.0,1.0
VPData,1997-12-18,Orange,CA,Pacific,33.822895000000074,-117.85524499999997,5,3,41.0,40s,No,Thursday,Winter,Male,Other,1.0,0.0
STData,1998-10-06,Riverside,CA,Pacific,33.93814348,-117.3948409,0,6,48.0,40s,No,Tuesday,Fall,Male,Black,1.0,0.0
STData,2001-03-05,San Diego,CA,Pacific,32.86357277,-117.1281628,2,13,15.0,High School,No,Monday,Spring,Male,White,0.0,1.0
VPData,2001-09-08,Sacramento,CA,Pacific,38.56449479170354,-121.51792790811413,5,2,20.0,College Age,No,Saturday,Fall,Male,White,1.0,0.0
VPData,2006-01-30,Goleta,CA,Pacific,34.42521600258779,-119.86603399732431,8,0,44.0,40s,Yes,Monday,Winter,Female,White,1.0,0.0
VPData,2008-03-18,Santa Maria,CA,Pacific,34.934951902590015,-120.4898811062803,4,0,31.0,30s,Yes,Tuesday,Spring,Male,White,0.0,0.0
STData,2008-12-24,Covina,CA,Pacific,34.09026669,-117.88199579999998,10,2,45.0,40s,No,Wednesday,Winter,Male,White,1.0,0.0
STData,2009-03-29,Santa Clara,CA,Pacific,37.36463172,-121.96793149999999,6,1,42.0,40s,No,Sunday,Spring,Male,Asian,1.0,0.0
VPData,2010-04-03,Los Angeles,CA,Pacific,34.15780198488282,-118.38729101158087,4,2,28.0,20s,No,Saturday,Spring,Male,Asian,0.0,0.0
VPData,2011-10-12,Seal Beach,CA,Pacific,33.745502998933894,-118.10606097714329,8,1,41.0,40s,Yes,Wednesday,Fall,Male,White,1.0,0.0
VPData,2012-04-02,Oakland,CA,Pacific,37.743351918694025,-122.19928025426887,7,3,43.0,40s,Yes,Monday,Spring,Male,Asian,1.0,1.0
STData,2013-02-03,Irvine,CA,Pacific,33.67803464,-117.773628,4,3,33.0,30s,Yes,Sunday,Winter,Male,Black,1.0,0.0
STData,2013-02-19,Ladera Ranch,CA,Pacific,33.54961059,-117.64157069999999,4,3,20.0,College Age,Yes,Tuesday,Winter,Male,White,0.0,0.0
VPData,2013-06-07,Santa Monica,CA,Pacific,34.01891228493834,-118.47040453696644,6,3,23.0,20s,Yes,Friday,Summer,Male,Other,1.0,1.0
STData,2013-11-01,Los Angeles,CA,Pacific,34.17622092,-118.53995420000001,1,3,23.0,20s,No,Friday,Fall,Male,White,1.0,0.0
GVData,2014-01-14,Los Angeles,CA,Pacific,34.60562280670242,-118.28138305866123,0,4,,,nan,Tuesday,Winter,,,,
GVData,2014-02-12,Stockton,CA,Pacific,37.960030000000074,-121.27747,1,3,,,nan,Wednesday,Winter,,,,
GVData,2014-02-12,Oakland,CA,Pacific,37.7752200457152,-122.22082994981709,1,3,,,nan,Wednesday,Winter,,,,
